timestamp,sender,message,contact
2022-10-08 20:20:00,sehersha,issogay,WhatsApp Chat with sehersha
2022-10-08 20:20:00,Ayush,Abhii,WhatsApp Chat with sehersha
2022-10-08 20:20:00,sehersha,om?,WhatsApp Chat with sehersha
2022-10-08 20:20:00,Ayush,Pch,WhatsApp Chat with sehersha
2022-10-08 20:21:00,Ayush,I hope,WhatsApp Chat with sehersha
2022-10-08 20:21:00,Ayush,You'd never,WhatsApp Chat with sehersha
2022-10-09 21:05:00,Ayush,I was too awkward us waqt,WhatsApp Chat with sehersha
2022-10-09 21:05:00,Ayush,ILY,WhatsApp Chat with sehersha
2022-10-09 21:05:00,Ayush,"I HEARD YOUR ""LOVE YOU""",WhatsApp Chat with sehersha
2022-10-09 21:07:00,sehersha,i realised,WhatsApp Chat with sehersha
2022-10-09 21:07:00,Ayush,So awkward,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,Btw,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,Anandi is just my friend,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,Aadil chutiya hai,WhatsApp Chat with sehersha
2022-10-09 21:08:00,sehersha,no shit,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,He was saying,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,Tu offend hogyi,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,u r,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,When ur offended?,WhatsApp Chat with sehersha
2022-10-09 21:09:00,sehersha,and i would tell you,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,*,WhatsApp Chat with sehersha
2022-10-09 21:09:00,sehersha,main hass rahi thi,WhatsApp Chat with sehersha
2022-10-09 21:09:00,sehersha,nahi,WhatsApp Chat with sehersha
2022-10-09 21:09:00,sehersha,pch,WhatsApp Chat with sehersha
2022-10-09 21:09:00,Ayush,yea yeaaa,WhatsApp Chat with sehersha
2022-10-09 21:10:00,sehersha,if i was,WhatsApp Chat with sehersha
2022-10-09 21:10:00,Ayush,Rightt,WhatsApp Chat with sehersha
2022-10-09 21:11:00,sehersha,yea,WhatsApp Chat with sehersha
2022-10-09 21:11:00,Ayush,I wanted to be there with you guys,WhatsApp Chat with sehersha
2022-10-09 21:13:00,sehersha,ikr,WhatsApp Chat with sehersha
2022-10-09 21:13:00,sehersha,aadil also wanted you to be there,WhatsApp Chat with sehersha
2022-10-09 21:14:00,Ayush,Hmm aadil only,WhatsApp Chat with sehersha
2022-10-09 21:16:00,sehersha,pch,WhatsApp Chat with sehersha
2022-10-09 21:16:00,sehersha,shift hoja,WhatsApp Chat with sehersha
2022-10-09 21:18:00,Ayush,Vo building to banne de,WhatsApp Chat with sehersha
2022-10-09 21:18:00,Ayush,Tere gharke samne wali,WhatsApp Chat with sehersha
2022-10-09 21:18:00,sehersha,booking khatam hogayi,WhatsApp Chat with sehersha
2022-10-09 21:18:00,Ayush,We'll move to US together,WhatsApp Chat with sehersha
2022-10-09 21:19:00,sehersha,okay,WhatsApp Chat with sehersha
2022-10-09 21:19:00,sehersha,i didn't register yet fuck,WhatsApp Chat with sehersha
2022-10-09 21:19:00,Ayush,So excited you are wow,WhatsApp Chat with sehersha
2022-10-09 21:19:00,Ayush,I'll kill you if you dont,WhatsApp Chat with sehersha
2022-10-09 21:37:00,Ayush,What was the red flag about,WhatsApp Chat with sehersha
2022-10-09 21:44:00,sehersha,killing me,WhatsApp Chat with sehersha
2022-10-09 23:01:00,sehersha,what,WhatsApp Chat with sehersha
2022-10-09 23:02:00,Ayush,THEY WERE LITERALLY SAYING,WhatsApp Chat with sehersha
